name,latitude,longitude
Admiralty Primary School,1.45403837499301,103.817436231731
Ahmad Ibrahim Primary School,1.43315271543517,103.832942401086
Ai Tong School,1.3605834338904,103.833020333986
Alexandra Primary School,1.29133439161334,103.824424680531
Anchor Green Primary School,1.39036998654612,103.887165375933
Anderson Primary School,1.38426429436736,103.841392081119
Anglo-Chinese School (Junior),1.30935041274966,103.840950265464
Anglo-Chinese School (Primary),1.31837054523521,103.835609732354
Angsana Primary School,1.34855287558648,103.951808105552
Ang Mo Kio Primary School,1.36558782075966,103.850957126982
Beacon Primary School,1.38394936211823,103.773632022975
Bedok Green Primary School,1.32344593287992,103.937878976352
Bendemeer Primary School,1.32181250780475,103.865404167629
Blangah Rise Primary School,1.27612047924037,103.808628535239
Boon Lay Garden Primary School,1.34317853793318,103.713280889452
Bukit Panjang Primary School,1.37362179302436,103.769374904025
Bukit Timah Primary School,1.3372995575169,103.766828720721
Bukit View Primary School,1.34586054788695,103.75366641455
Canberra Primary School,1.45125024371543,103.815858858929
Canossa Catholic Primary School,1.32664424544839,103.882227964852
Cantonment Primary School,1.27547252623201,103.839962631748
Casuarina Primary School,1.37246063927999,103.957020286115
Catholic High School (Primary),1.35438878373608,103.844210670766
Cedar Primary School,1.3355885014312,103.87562104944
Changkat Primary School,1.34023163951633,103.952080114035
CHIJ (Katong) Primary,1.30648535277087,103.911105620496
CHIJ (Kellock),1.275022722964,103.828157564896
CHIJ Our Lady of Good Counsel,1.35742952269615,103.864009397373
CHIJ Our Lady of the Nativity,1.37357409699145,103.897768958127
CHIJ Our Lady Queen of Peace,1.366603668561,103.767412204602
CHIJ Primary (Toa Payoh),1.33275264711587,103.841847263786
CHIJ St. Nicholas Girls' School (Primary Section),1.3739790471108462,103.83424002714133
Chongfu School,1.43839562897006,103.839309173817
Chongzheng Primary School,1.35070739237744,103.951399541868
Chua Chu Kang Primary School,1.37775890093367,103.741832917421
Clementi Primary School,1.31506321827875,103.763144493687
Compassvale Primary School,1.38376923022123,103.891354675017
Concord Primary School,1.38000806197242,103.736225440727
Coral Primary School,1.3679782603996944,103.95108733878556
Corporation Primary School,1.33820397704287,103.718089546664
Da Qiao Primary School,1.3719330834184313,103.85870045452789
Damai Primary School,1.33546106800406,103.921270169613
Dazhong Primary School,1.3591797447277,103.74847210784
De La Salle School,1.3947078296399,103.743201812831
East Coast Primary School,1.3293035651237786,103.92011952529232
East Spring Primary School,1.35268400746357,103.961676849165
East View Primary School,1.3468719784605487,103.93949008027487
Edgefield Primary School,1.40009139510996,103.907847599114
Elias Park Primary School,1.37451269377776,103.945128117139
Endeavour Primary School,1.45403837499301,103.817436231731
Evergreen Primary School,1.44415332824735,103.794577787757
Fairfield Methodist School (Primary),1.30100441916733,103.785455606827
Farrer Park Primary School,1.31236867681371,103.850766402965
Fengshan Primary School,1.32980598760785,103.931710293058
Fernvale Primary School,1.39030227963797,103.874445458032
First Toa Payoh Primary School,1.34032299499938,103.855529906182
Frontier Primary School,1.33641298743234,103.69970173931
Fuchun Primary School,1.43047990810126,103.778192944298
Fuhua Primary School,1.33650394789627,103.736103745748
Gan Eng Seng Primary School,1.28559516494962,103.815547410064
Geylang Methodist School (Primary),1.31759126757284,103.883845744916
Gongshang Primary School,1.35711606790292,103.949144797277
Greendale Primary School,1.39648195114256,103.91233462071
Greenridge Primary School,1.3858892193692,103.767794469258
Greenwood Primary School,1.43989958331782,103.804725587384
Haig Girls' School,1.31194344271383,103.902902557195
Holy Innocents' Primary School,1.36693830877349,103.894114899795
Henry Park Primary School,1.31667646178347,103.784296227747
Hong Wen School,1.32175999964553,103.857628468881
Horizon Primary School,1.399550034492,103.913404855665
Hougang Primary School,1.37738245231461,103.880805274557
Huamin Primary School,1.42697284512936,103.844240226564
Innova Primary School,1.42896700684852,103.790607539185
Jiemin Primary School,1.42768847665227,103.830425490093
Jing Shan Primary School,1.3722940213388664,103.85182008481267
Junyuan Primary School,1.34787074766746,103.939221709073
Jurong Primary School,1.34718456606375,103.70053420978
Jurong West Primary School,1.3448790560014,103.699286360581
Juying Primary School,1.3383597691045763,103.68820622529225
Keming Primary School,1.34552849960874,103.756449399351
Kheng Cheng School,1.3373381935639,103.847148501824
Kong Hwa School,1.31099674009193,103.888352029067
Kranji Primary School,1.39356050497104,103.747362720939
Kuo Chuan Presbyterian Primary School,1.34939813669536,103.855018233311
Lakeside Primary School,1.33820397704287,103.718089546664
Lianhua Primary School,1.35424191127295,103.754165828711
Maha Bodhi School,1.32847086658384,103.901298737314
Maris Stella High School (Primary Section),1.3426492209742367,103.87855708296343
Marsiling Primary School,1.43383904037059,103.773643013846
Marymount Convent School,1.34036676987375,103.840021064426
Mayflower Primary School,1.37614621670476,103.835805246743
Mee Toh School,1.3946184538592,103.908589494228
Meridian Primary School,1.37552831658484,103.934889078518
Methodist Girls' School (Primary),1.34947276268396,103.884971343143
Montfort Junior School,1.37382444075979,103.889307782925
Nan Chiau Primary School,1.39221149906592,103.891180928186
Nan Hua Primary School,1.31920159956387,103.761095065761
Nanyang Primary School,1.32084749904532,103.807750155296
Ngee Ann Primary School,1.30552505910497,103.917463017497
Naval Base Primary School,1.41630663159387,103.838794077233
New Town Primary School,1.29964188181021,103.80010216304
Northland Primary School,1.42096989918951,103.840928424929
Northoaks Primary School,1.45660782030102,103.814196981329
North Spring Primary School,1.38706146494859,103.903202683028
North View Primary School,1.42752327193727,103.848190787869
North Vista Primary School,1.38282243016299,103.895961877928
Oasis Primary School,1.40462413200793,103.911120600638
Opera Estate Primary School,1.31931914436255,103.923788259248
Palm View Primary School,1.38376923022123,103.891354675017
Park View Primary School,1.37738069854249,103.939541695654
Pasir Ris Primary School,1.36555714668553,103.960918869319
Paya Lebar Methodist Girls' School (Primary),1.34947276268396,103.884971343143
Pei Chun Public School,1.33737358725951,103.855585578061
Pei Hwa Presbyterian Primary School,1.33805634613048,103.776106448614
Pei Tong Primary School,1.31619786415976,103.767599818844
Peiying Primary School,1.41723339695904,103.830417090698
Pioneer Primary School,1.33902264667589,103.687769623983
Poi Ching School,1.35765122315688,103.935246477199
Princess Elizabeth Primary School,1.349203512653,103.74101964471
Punggol Cove Primary School,1.41159923273069,103.898803921164
Punggol Green Primary School,1.40187220643293,103.898801330302
Punggol Primary School,1.40514582647962,103.905156371376
Punggol View Primary School,1.40514582647962,103.905156371376
Qifa Primary School,1.3132658326807,103.756629101811
Qihua Primary School,1.44203596557592,103.788339762066
Queenstown Primary School,1.29559365009015,103.807548617332
Radin Mas Primary School,1.27495823622634,103.824188270373
Raffles Girls' Primary School,1.3294042600012,103.806442915912
Red Swastika School,1.33405659580859,103.934317528484
Riverside Primary School,1.44700426493785,103.801889031334
River Valley Primary School,1.2942232846169,103.835815165829
Rivervale Primary School,1.38706146494859,103.903202683028
Rosyth School,1.37289067499064,103.875001549174
Rulang Primary School,1.34673868889096,103.718457955487
Sengkang Green Primary School,1.39284606680477,103.875217666486
Sembawang Primary School,1.4450737155262,103.821042374036
Si Ling Primary School,1.43240935732525,103.786035065192
Seng Kang Primary School,1.38949740422462,103.899767112047
Shuqun Primary School,1.34765311431632,103.721523713379
Singapore Chinese Girls’ School (Primary),1.32080725235992,103.827744749548
South View Primary School,1.38166664389749,103.746275846011
Springdale Primary School,1.39467010299293,103.889926221247
St. Andrew's Junior School,1.3310582489272231,103.8653423326439
St. Anthony's Canossian Primary School,1.3347619912564452,103.94170501179906
St. Anthony's Primary School,1.3641134306232963,103.74898047124886
St. Gabriel's Primary School,1.3495881517194346,103.86265110348643
St. Hilda's Primary School,1.349609217621692,103.93610449645676
St. Joseph's Institution Junior,1.3173185946693773,103.84552301179906
St. Margaret's Primary School,1.3250009428605187,103.88167509645677
St. Stephen's School,1.3187756686992027,103.91755776762106
Tampines North Primary School,1.36047641484682,103.948725782833
Tampines Primary School,1.35070739237744,103.951399541868
Tanjong Katong Primary School,1.30524084264265,103.900092702031
Tao Nan School,1.2943321052493,103.849026157822
Teck Ghee Primary School,1.36558782075966,103.850957126982
Teck Whye Primary School,1.38364996834457,103.753291857016
Telok Kurau Primary School,1.33104585441349,103.910934011337
Temasek Primary School,1.31770677551333,103.945590669163
Townsville Primary School,1.36003263746623,103.853826048327
Unity Primary School,1.40285481877246,103.746822625758
Valour Primary School,1.40683570215319,103.899078139493
Waterway Primary School,1.39882800626578,103.918621581556
Wellington Primary School,1.45192019155475,103.822303719094
West Grove Primary School,1.3448790560014,103.699286360581
West Spring Primary School,1.38944145898943,103.766195711835
Westwood Primary School,1.34718456606375,103.70053420978
West View Primary School,1.3836758200336,103.760240434318
White Sands Primary School,1.36555714668553,103.960918869319
Woodgrove Primary School,1.43273620725049,103.79023031392
Woodlands Primary School,1.43273620725049,103.79023031392
Woodlands Ring Primary School,1.43495229315857,103.797435733144
Xinghua Primary School,1.35790893589535,103.890472887906
Xingnan Primary School,1.34254744877694,103.687950252103
Xinmin Primary School,1.37139548941931,103.883080767491
Xishan Primary School,1.43347186925064,103.837755319448
Yangzheng Primary School,1.34864575840923,103.868595527042
Yew Tee Primary School,1.39676600905037,103.750985967346
Yio Chu Kang Primary School,1.37793264345276,103.885643682171
Yishun Primary School,1.42768847665227,103.830425490093
Yu Neng Primary School,1.33388930344069,103.932144857355
Yuhua Primary School,1.34280230475033,103.741105772644
Yumin Primary School,1.35129177656981,103.950461927088
Zhangde Primary School,1.28421153335379,103.825951875662
Zhenghua Primary School,1.37954887512229,103.769313521752
Zhonghua Primary School,1.36020329705047,103.869762438084
