code,name,opening_year,latitude,longitude
NS1,Jurong East,1990,1.33329506563598,103.742153884191
NS2,Bukit Batok,1990,1.34903534800639,103.749526027989
NS3,Bukit Gombak,1990,1.35866272149921,103.751913321513
NS4,Choa Chu Kang,1990,1.38536316540225,103.744370779756
NS5,Yew Tee,1996,1.39747594171731,103.747418249132
NS7,Kranji,1996,1.4250690629411,103.762099449562
NS8,Marsiling,1996,1.43262603485889,103.774051197031
NS9,Woodlands,1996,1.43605761708128,103.787938777173
NS10,Admiralty,1996,1.44055609916205,103.800916952025
NS11,Sembawang,1996,1.44902668521092,103.820139486468
NS12,Canberra,2019,1.44307664075699,103.829702590959
NS13,Yishun,1988,1.4295887655538,103.835050382253
NS14,Khatib,1988,1.41758906054002,103.833061043125
NS15,Yio Chu Kang,1987,1.38168259989517,103.844991053696
NS16,Ang Mo Kio,1987,1.36993284962264,103.849558091776
NS17,Bishan,1987,1.35101889777844,103.850057208608
NS18,Braddell,1987,1.34010520696434,103.846755921048
NS19,Toa Payoh,1987,1.33259672794159,103.847577286075
NS20,Novena,1987,1.32021100706836,103.843656761867
NS21,Newton,1987,1.31257031730604,103.838031555215
NS22,Orchard,1987,1.30304426265194,103.831375000068
NS23,Somerset,1987,1.30025287710542,103.839158336848
NS24,Dhoby Ghaut,1987,1.29868872290409,103.846179896647
NS25,City Hall,1987,1.29298990700923,103.852542630339
NS26,Raffles Place,1987,1.28393326234538,103.851463066212
NS27,Marina Bay,1989,1.27631114381584,103.854604975361
NS28,Marina South Pier,2014,1.27102703612006,103.862447515736
EW1,Pasir Ris,1989,1.37300805046319,103.949265083922
EW2,Tampines,1989,1.35515041120473,103.943009883131
EW3,Simei,1989,1.34316035195426,103.953347548212
EW4,Tanah Merah,1989,1.32701524290982,103.946155931882
EW5,Bedok,1989,1.32398845004421,103.930032476715
EW6,Kembangan,1989,1.32104702761608,103.91292554527
EW7,Eunos,1989,1.31978354916088,103.903225807255
EW8,Paya Lebar,1989,1.3172473854035,103.892260753884
EW9,Aljunied,1989,1.31644118834754,103.882964033576
EW10,Kallang,1989,1.31148890998818,103.871386541754
EW11,Lavender,1989,1.30739187893137,103.862784610013
EW12,Bugis,1989,1.30026468984101,103.855614760658
EW13,City Hall,1987,1.29298990700923,103.852542630339
EW14,Raffles Place,1987,1.28393326234538,103.851463066212
EW15,Tanjong Pagar,1987,1.27660857408421,103.846006679223
EW16,Outram Park,1987,1.2802415328084,103.840052100136
EW17,Tiong Bahru,1988,1.28619457890544,103.826998939732
EW18,Redhill,1988,1.28963453412887,103.81674097205
EW19,Queenstown,1988,1.29455085184931,103.806077155982
EW20,Commonwealth,1988,1.31511625277378,103.765191452888
EW21,Buona Vista,1988,1.30627534823257,103.790363200126
EW22,Dover,2001,1.31139153717332,103.778656381761
EW23,Clementi,1988,1.31511625277378,103.765191452888
EW24,Jurong East,1988,1.33329506563598,103.742153884191
EW25,Chinese Garden,1988,1.34224494823931,103.732766601621
EW26,Lakeside,1988,1.34425911493819,103.720949087456
EW27,Boon Lay,1990,1.33860405469845,103.706064622772
EW28,Pioneer,2009,1.33759355182117,103.697418455881
EW29,Joo Koon,2009,1.32769436492908,103.678085068438
EW30,Gul Circle,2017,1.31947090075208,103.660530461345
EW31,Tuas Crescent,2017,1.32102695598684,103.649078235627
EW32,Tuas West Road,2017,1.32998504653102,103.639616648771
EW33,Tuas Link,2017,1.34088242451105,103.636991425128
CG1,Expo,2001,1.33538252614956,103.962374747451
CG2,Changi Airport,2002,1.35747897447692,103.98788356959
NE1,HarbourFront,2003,1.26531139858465,103.820557316696
NE3,Outram Park,2003,1.2802415328084,103.840052100136
NE4,Chinatown,2003,1.2839640518753,103.843141945391
NE5,Clarke Quay,2003,1.28745211415803,103.846119192727
NE6,Dhoby Ghaut,2003,1.29868872290409,103.846179896647
NE7,Little India,2003,1.30724381608438,103.849841614124
NE8,Farrer Park,2003,1.31314029963164,103.854754721344
NE9,Boon Keng,2003,1.3199433920787,103.861746337392
NE10,Potong Pasir,2003,1.33137808528793,103.869363547741
