Id,Predicted
0,3032.773744233535
1,2726.294433042282
2,3518.0957704278353
3,2025.0814697115193
4,2496.2277994427145
5,2109.533230072456
6,2180.7527407405782
7,3348.89015615765
8,2575.472599113392
9,4218.3275263406185
10,2087.738609424881
11,2798.5550542107776
12,2853.4463699901157
13,2621.1111852366803
14,2335.929249293444
15,2619.233674100804
16,1974.5703615415553
17,2516.6199802597243
18,2451.896018647851
19,2656.8447832091415
20,1818.3418169630754
21,2774.015338858179
22,2395.4748349734273
23,2907.920801859439
24,3117.427311379279
25,1979.1913836378596
26,2433.7480308643712
27,2448.922315030403
28,2339.952856798194
29,3235.8045935403666
30,3128.2395917249823
31,2472.494650796235
32,2334.8026345212184
33,2467.985816724267
34,1938.4406260637609
35,2095.6264093880623
36,1520.6964658371453
37,2543.240734980698
38,2863.1640858639744
39,2973.4868718632215
40,2029.4259244782288
41,2882.0629062287244
42,2880.9523888842973
43,2853.9869924227737
44,1868.8876970484555
45,3258.676994017168
46,2300.6002147148715
47,2407.200176960941
48,2046.1035660336686
49,1900.595980688219
50,1915.7009864622332
51,2631.048904051911
52,2478.6911536102143
53,1776.8653747388696
54,1909.480433490509
55,3408.917891427855
56,2928.202677474661
57,3127.0913689674667
58,2055.644725168116
59,2771.069963585851
60,2348.993942540231
61,2389.1572828849485
62,2809.55080632733
63,2328.4713644048948
64,2719.323427859173
65,2871.3188767533866
66,2594.778026150092
67,2463.6900777357732
68,2439.6537107281624
69,2663.2750810859443
70,1626.6027339298967
71,2125.0871928456877
72,2790.439684032881
73,2114.3405196690114
74,2669.2468216090824
75,3040.2745850652364
76,2005.9905686466866
77,2177.257565406486
78,3229.859099248356
79,2628.3315883696164
80,2766.9529211666113
81,2539.7722521041387
82,3363.6435085211706
83,2265.3789895901054
84,2354.89992464827
85,2464.8869786556297
86,3161.3110069008844
87,2333.64182270088
88,2023.2607650115604
89,2467.3820656908915
90,2732.8633440590747
91,2406.7983903157333
92,2671.006386250862
93,2010.2547772641003
94,4215.361551519876
95,2416.6509732385057
96,2714.7040024542835
97,2168.960056192837
98,2619.2106918038758
99,2476.609848940011
100,2746.993518036956
101,3100.835149980995
102,2714.8083741577384
103,3431.6103679553216
104,2292.2836874311233
105,4222.057719900038
106,1919.1254954912176
107,2205.6596448869514
108,2982.9095768557877
109,2491.072978354469
110,1498.7251762835353
111,2123.1422620762505
112,3836.314084234203
113,2295.714088065843
114,2007.743308857823
115,2084.800616482107
116,2106.91871480237
117,2396.9030119356657
118,2350.744393394588
119,2036.2635475759287
120,3301.219521185303
121,2668.559025783275
122,3738.557681892575
123,2552.4106182640653
124,2400.355808616294
125,3001.5790027298426
126,2570.8195417480806
127,1979.1672510943415
128,2505.987624379405
129,3198.3936685227864
130,4197.345107385203
131,1846.9271346015053
132,3524.4688577912634
133,3135.3814053083083
134,2568.685243693929
135,2035.315395110573
136,3301.219521185303
137,2913.5715895204216
138,2430.879322657038
139,2018.4665268327517
140,2995.4058753418185
141,3394.4792670333295
142,1906.1147424111514
143,2652.167276817956
144,3134.5546177381602
145,2279.5063396814908
146,2771.6994981564317
147,2435.932945632133
148,2485.5320357806286
149,2420.0203601819335
150,3248.88165467103
151,2783.182441069034
152,3307.915668280234
153,3563.790368295569
154,2139.448291243136
155,3155.989833828521
156,2211.2777981096774
157,2977.0976724678408
158,3178.481399189332
159,3228.40820653338
160,2639.3463504390475
161,2364.8028719487547
162,2332.6779816172643
163,3146.6518868252924
164,2807.731677290123
165,2111.647373223575
166,3226.611712277193
167,1915.8301067424204
168,2887.4637632037884
169,2566.0667222180386
170,1957.6797286067285
171,2388.6498075778927
172,2472.8361895230796
173,2419.9538543474396
174,2337.0167563261643
175,2429.1536024128463
176,3203.5668867715876
177,3224.292747135228
178,2129.844566284954
179,2260.462169186541
180,2303.045086550575
181,4065.725982211587
182,2650.149604573968
183,2543.5619848988435
184,4164.345719103689
185,2419.187400175102
186,2182.86455452061
187,2358.4016260251396
188,3019.997328963676
189,2206.339799902518
190,3498.338448083276
191,2263.8890513146584
192,2870.419449760565
193,4096.671378524304
194,2615.6245749406307
195,2729.163427678292
196,3235.0487327965957
197,1930.5191310792013
198,3646.8035778744224
199,2988.217789959526
200,2680.8013188773366
201,2363.5388168992868
202,2077.1159833997954
203,2233.771116048781
204,1774.1812897300458
205,2633.7518198783246
206,2721.5357806964057
207,2065.1545926517124
208,3775.818809374231
209,2175.484125965419
210,2563.8364111078263
211,2515.0795615828597
212,2451.670728597986
213,3639.5359698811785
214,2139.0539388384914
215,2383.4287418027343
216,3026.7404741580563
217,2425.941599413804
218,2154.1250837073526
219,2028.0902323521675
220,2728.3436915709703
221,2129.3392732972175
222,2448.933508065983
223,2594.583969362233
224,1782.1346810027512
225,2386.552280662373
226,2207.235026770705
227,2423.618605025733
228,3378.6956029376347
229,2656.377095155638
230,1998.1828743575363
231,3230.9211912734318
232,3373.794315151496
233,2971.644747810834
234,2456.8245778823775
235,2083.2476482363318
236,2127.401103519726
237,3064.5933237244612
238,2597.4891720363735
239,2874.382895251626
240,3122.0432414299844
241,2346.100156748246
242,2629.5928249820818
243,2527.3805854157663
244,2633.9590981799424
245,2867.4058802024006
246,3020.387042234255
247,2449.844012917186
248,3406.6916283644778
249,3377.2438587444008
250,2718.7349258527342
251,1942.0341858651827
252,3866.584550078165
253,2881.2159606800046
254,2363.1729849398957
255,2364.3447116164834
256,2274.4017299107263
257,1973.5344091335946
258,2085.923050249036
259,2393.5652012184837
260,2105.1516055550464
261,2225.6035571057014
262,3392.6429931945313
263,2147.5904679699197
264,2270.768506132844
265,3229.9084648541925
266,2506.043665023261
267,2853.9910741671847
268,1991.1212342653885
269,2287.3132495485997
270,2757.0337999289623
271,2368.453383992018
272,2189.218735305036
273,2380.813350852548
274,2103.797446629614
275,3099.193674293863
276,2423.233907321549
277,2536.590347484167
278,3779.7117112128753
279,2231.183733313958
280,3837.036156633174
281,2448.190365096616
282,2534.706357715882
283,3376.6946309409577
284,1395.2805022063683
285,3286.699809163273
286,2532.9620399400374
287,2259.801532687956
288,2614.3055775962375
289,3362.477787501741
290,2294.352703362278
291,2590.9863513291984
292,1875.3928722223147
293,4823.778556338085
294,2668.533246731276
295,3299.3337080573488
296,3716.7813928834776
297,1871.1919478709742
298,2540.92326319105
299,2354.9137606363897
300,4165.723336007878
301,1951.3447221919794
302,2036.4960122222885
303,2909.472543426527
304,1923.946137200393
305,2275.0815002138384
306,2505.8572393400373
307,2298.6217016460123
308,2233.696552579971
309,2057.1280676955926
310,3494.009158796784
311,2731.409432792903
312,2415.676076272053
313,2473.1484658542645
314,2044.7422318513588
315,1830.9873130844462
316,2456.4612942247513
317,1925.1650933580504
318,2242.5472992766977
319,2132.264601997324
320,2332.7960391584243
321,1923.1086229810178
322,2263.610831985534
323,3263.9802914410125
324,3040.629979656927
325,2218.781358715427
326,2440.874758238947
327,3212.9770115686865
328,1763.001193182606
329,3690.0723345206943
330,1845.610114279655
331,2162.9036594588197
332,1946.1084228670147
333,3374.392160495889
334,3357.5009133962603
335,2860.9376029561026
336,2124.1841231607164
337,2485.2188281070194
338,2680.1468592292326
339,3145.026822686414
340,2265.729187927263
341,2996.198186025476
342,4354.609709851581
343,3443.268759312268
344,2081.171650107222
345,2147.258834828649
346,1969.3527899242451
347,1989.0453959802746
